open_time,open,high,low,close,volume,close_time,amount,trade_count,open_time_unix_ms,close_time_unix_ms,btc_close_price,strike_price_K,time_to_maturity_t2m,current_time_t,contract_duration_T
2025-12-03 15:00:00,970,995,890,910,7.77,2025-12-03 15:30:00,7692.4,9,1764748800000,1764750600000,92916.79000000,93000,0.00268265,0.00005708,0.00273973
2025-12-03 15:30:00,865,920,785,785,7.58,2025-12-03 16:00:00,6688.2,21,1764750600000,1764752400000,92765.65000000,93000,0.00262557,0.00011416,0.00273973
2025-12-03 16:00:00,855,860,810,860,1.85,2025-12-03 16:30:00,1580.6,4,1764752400000,1764754200000,92934.49000000,93000,0.00256849,0.00017123,0.00273973
2025-12-03 16:30:00,835,875,835,875,2.01,2025-12-03 17:00:00,1758.35,2,1764754200000,1764756000000,93178.46000000,93000,0.00251142,0.00022831,0.00273973
2025-12-03 17:00:00,985,990,985,990,0.19,2025-12-03 17:30:00,188.05,3,1764756000000,1764757800000,93214.08000000,93000,0.00245434,0.00028539,0.00273973
2025-12-03 17:30:00,875,930,825,825,2.35,2025-12-03 18:00:00,2048.65,7,1764757800000,1764759600000,92939.40000000,93000,0.00239726,0.00034247,0.00273973
2025-12-03 18:00:00,850,850,740,770,15.09,2025-12-03 18:30:00,12127,19,1764759600000,1764761400000,92995.32000000,93000,0.00234018,0.00039954,0.00273973
2025-12-03 18:30:00,860,860,810,845,3.49,2025-12-03 19:00:00,2975.1,9,1764761400000,1764763200000,93005.68000000,93000,0.00228311,0.00045662,0.00273973
2025-12-03 19:00:00,795,800,760,760,0.29,2025-12-03 19:30:00,224.55,7,1764763200000,1764765000000,92730.70000000,93000,0.00222603,0.00051370,0.00273973
2025-12-03 19:30:00,830,830,795,795,0.29,2025-12-03 20:00:00,235.1,2,1764765000000,1764766800000,92937.39000000,93000,0.00216895,0.00057078,0.00273973
2025-12-03 20:00:00,820,875,820,860,0.03,2025-12-03 20:30:00,25.55,3,1764766800000,1764768600000,93015.53000000,93000,0.00211187,0.00062785,0.00273973
2025-12-03 20:30:00,855,930,855,905,0.22,2025-12-03 21:00:00,199.7,6,1764768600000,1764770400000,93130.88000000,93000,0.00205479,0.00068493,0.00273973
2025-12-03 21:00:00,855,855,435,645,7.54,2025-12-03 21:30:00,3944.4,30,1764770400000,1764772200000,92540.06000000,93000,0.00199772,0.00074201,0.00273973
2025-12-03 21:30:00,590,1100,555,720,5.93,2025-12-03 22:00:00,4421.75,17,1764772200000,1764774000000,92357.54000000,93000,0.00194064,0.00079909,0.00273973
2025-12-03 22:00:00,645,810,500,545,3.28,2025-12-03 22:30:00,2102,11,1764774000000,1764775800000,92317.19000000,93000,0.00188356,0.00085616,0.00273973
2025-12-03 22:30:00,505,620,495,575,3.37,2025-12-03 23:00:00,1869.5,9,1764775800000,1764777600000,92373.30000000,93000,0.00182648,0.00091324,0.00273973
2025-12-03 23:00:00,470,470,350,350,2.45,2025-12-03 23:30:00,1002.95,12,1764777600000,1764779400000,92268.45000000,93000,0.00176941,0.00097032,0.00273973
2025-12-03 23:30:00,465,560,465,480,5.14,2025-12-04 00:00:00,2647.85,8,1764779400000,1764781200000,92242.24000000,93000,0.00171233,0.00102740,0.00273973
2025-12-04 00:00:00,385,450,375,450,3.65,2025-12-04 00:30:00,1553.65,4,1764781200000,1764783000000,92506.45000000,93000,0.00165525,0.00108447,0.00273973
2025-12-04 00:30:00,535,620,520,620,1.55,2025-12-04 01:00:00,836.85,5,1764783000000,1764784800000,92956.22000000,93000,0.00159817,0.00114155,0.00273973
2025-12-04 01:00:00,675,875,615,645,4.33,2025-12-04 01:30:00,3091.2,8,1764784800000,1764786600000,93096.69000000,93000,0.00154110,0.00119863,0.00273973
2025-12-04 01:30:00,635,660,390,390,10.85,2025-12-04 02:00:00,4300.3,10,1764786600000,1764788400000,92623.86000000,93000,0.00148402,0.00125571,0.00273973
2025-12-04 02:00:00,440,440,385,385,3.14,2025-12-04 02:30:00,1373.9,3,1764788400000,1764790200000,92714.63000000,93000,0.00142694,0.00131279,0.00273973
2025-12-04 02:30:00,445,555,430,545,2.9,2025-12-04 03:00:00,1591.45,10,1764790200000,1764792000000,93024.99000000,93000,0.00136986,0.00136986,0.00273973
2025-12-04 03:00:00,575,620,455,470,1.29,2025-12-04 03:30:00,694.55,9,1764792000000,1764793800000,93033.12000000,93000,0.00131279,0.00142694,0.00273973
2025-12-04 03:30:00,615,620,555,555,0.07,2025-12-04 04:00:00,42.5,3,1764793800000,1764795600000,92980.43000000,93000,0.00125571,0.00148402,0.00273973
2025-12-04 04:00:00,570,570,570,570,0.91,2025-12-04 04:30:00,518.7,1,1764795600000,1764797400000,93276.20000000,93000,0.00119863,0.00154110,0.00273973
2025-12-04 04:30:00,725,890,720,890,7.99,2025-12-04 05:00:00,5948.05,14,1764797400000,1764799200000,93700.00000000,93000,0.00114155,0.00159817,0.00273973
2025-12-04 05:00:00,970,990,660,680,12.64,2025-12-04 05:30:00,8910.75,20,1764799200000,1764801000000,93405.53000000,93000,0.00108447,0.00165525,0.00273973
2025-12-04 05:30:00,795,1190,795,1190,5,2025-12-04 06:00:00,3996.95,12,1764801000000,1764802800000,93781.01000000,93000,0.00102740,0.00171233,0.00273973
2025-12-04 06:00:00,1125,1125,1125,1125,0.1,2025-12-04 06:30:00,112.5,1,1764802800000,1764804600000,93641.13000000,93000,0.00097032,0.00176941,0.00273973
2025-12-04 06:30:00,1125,1125,1125,1125,0,2025-12-04 07:00:00,0,0,1764804600000,1764806400000,93429.95000000,93000,0.00091324,0.00182648,0.00273973
2025-12-04 07:00:00,630,630,375,375,7.27,2025-12-04 07:30:00,3199.65,16,1764806400000,1764808200000,92828.08000000,93000,0.00085616,0.00188356,0.00273973
2025-12-04 07:30:00,370,445,315,445,0.35,2025-12-04 08:00:00,130.75,6,1764808200000,1764810000000,93054.86000000,93000,0.00079909,0.00194064,0.00273973
2025-12-04 08:00:00,555,870,555,665,1.03,2025-12-04 08:30:00,640.1,18,1764810000000,1764811800000,93384.29000000,93000,0.00074201,0.00199772,0.00273973
2025-12-04 08:30:00,665,665,665,665,0,2025-12-04 09:00:00,0,0,1764811800000,1764813600000,93195.07000000,93000,0.00068493,0.00205479,0.00273973
2025-12-04 09:00:00,475,1075,475,950,4.06,2025-12-04 09:30:00,3852.35,10,1764813600000,1764815400000,93800.01000000,93000,0.00062785,0.00211187,0.00273973
2025-12-04 09:30:00,995,1050,900,900,6.02,2025-12-04 10:00:00,5989.5,6,1764815400000,1764817200000,93943.24000000,93000,0.00057078,0.00216895,0.00273973
2025-12-04 10:00:00,900,900,900,900,0,2025-12-04 10:30:00,0,0,1764817200000,1764819000000,93616.57000000,93000,0.00051370,0.00222603,0.00273973
2025-12-04 10:30:00,730,730,605,635,1.67,2025-12-04 11:00:00,1050.65,8,1764819000000,1764820800000,93543.04000000,93000,0.00045662,0.00228311,0.00273973
2025-12-04 11:00:00,635,635,635,635,0,2025-12-04 11:30:00,0,0,1764820800000,1764822600000,93409.11000000,93000,0.00039954,0.00234018,0.00273973
2025-12-04 11:30:00,475,485,415,420,4.99,2025-12-04 12:00:00,2269.75,29,1764822600000,1764824400000,93360.58000000,93000,0.00034247,0.00239726,0.00273973
2025-12-04 12:00:00,455,455,230,230,4.35,2025-12-04 12:30:00,1480.45,22,1764824400000,1764826200000,93203.40000000,93000,0.00028539,0.00245434,0.00273973
2025-12-04 12:30:00,260,260,125,155,0.59,2025-12-04 13:00:00,93.6,15,1764826200000,1764828000000,92979.25000000,93000,0.00022831,0.00251142,0.00273973
2025-12-04 13:00:00,165,220,165,190,0.28,2025-12-04 13:30:00,53.35,4,1764828000000,1764829800000,93206.39000000,93000,0.00017123,0.00256849,0.00273973
2025-12-04 13:30:00,205,205,160,200,0.05,2025-12-04 14:00:00,9.5,5,1764829800000,1764831600000,93140.74000000,93000,0.00011416,0.00262557,0.00273973
2025-12-04 14:00:00,150,200,125,135,0.19,2025-12-04 14:30:00,32.8,6,1764831600000,1764833400000,93101.13000000,93000,0.00005708,0.00268265,0.00273973
2025-12-04 14:30:00,250,260,250,260,0.03,2025-12-04 15:00:00,7.6,2,1764833400000,1764835200000,93397.67000000,93000,0.00000000,0.00273973,0.00273973
